event_type,cluster,count,pct_of_total,mean_ret_T6_pct,mean_ret_T12_pct
SURGE_UP,0,3,2.027027027027027,1.11490963079494,1.6694847667539137
SURGE_UP,1,3,2.027027027027027,1.0486745704688434,2.3387811482481324
SURGE_UP,2,39,26.351351351351347,1.4583468996908437,1.7097824428229662
SURGE_UP,3,2,1.3513513513513513,2.113022113022113,-1.0393120393120392
SURGE_UP,4,2,1.3513513513513513,-0.9238653177591455,3.1237928734590548
SURGE_UP,5,7,4.72972972972973,0.9271024900346245,2.053149682927146
SURGE_UP,6,2,1.3513513513513513,1.0113831247295346,3.0892723931731894
SURGE_UP,7,4,2.7027027027027026,1.68510023605885,1.830725234473312
SURGE_UP,8,3,2.027027027027027,1.7606792175559955,1.2481488591102754
SURGE_UP,9,2,1.3513513513513513,1.6756756756756759,1.7633518686150267
SURGE_DOWN,0,152,98.06451612903226,-1.5764845026315133,-2.618858966006814
